"ESCALA","CONSIGNATARI_23","DATA_ENTRADA_PREVISTA_23","DATA_SORTIDA_PREVISTA_23","DATA_HORA_ENTRADA_23","DATA_HORA_SORTIDA_23"
"31497",MARITIMA DEL MEDITERRANEO SA,2022-01-14 14:24:00.000,2022-01-16 20:00:00.000,2022-01-14 14:24:00.000,2022-01-17 03:42:00.000
"31500",MARITIMA DEL MEDITERRANEO SA,2022-01-15 23:00:00.000,2022-01-16 14:00:00.000,2022-01-16 02:41:00.000,2022-01-16 18:26:00.000
"31510",MEDITERRANEAN SHIPPING COM ESPANA S,2022-01-24 16:00:00.000,2022-01-25 16:00:00.000,2022-01-24 15:47:00.000,2022-01-25 03:19:00.000
"31533",MEDITERRANEAN SHIPPING COM ESPANA S,2022-01-23 12:00:00.000,2022-01-24 03:00:00.000,2022-01-23 18:35:00.000,2022-01-24 07:43:00.000
"31534",MEDITERRANEAN SHIPPING COM ESPANA S,2022-01-29 06:00:00.000,2022-01-29 23:42:00.000,2022-01-29 23:40:00.000,2022-01-30 17:38:00.000
"31535",MEDITERRANEAN SHIPPING COM ESPANA S,2022-02-21 12:00:00.000,2022-02-22 19:30:00.000,2022-02-21 23:35:00.000,2022-02-22 19:39:00.000
"31546",WEC LINES ESPANA SLU,2022-01-15 19:00:00.000,2022-01-16 05:00:00.000,2022-01-15 20:35:00.000,2022-01-16 05:52:00.000
"31557",MEDITERRANEAN SHIPPING COM ESPANA S,2022-01-09 22:00:00.000,2022-01-10 08:00:00.000,2022-01-09 15:10:00.000,2022-01-09 20:16:00.000
"31613",CMA CGM IBERICA SAU,2022-01-16 06:00:00.000,2022-01-16 20:00:00.000,2022-01-16 13:21:00.000,2022-01-16 23:52:00.000
"31649",MEDITERRANEAN SHIPPING COM ESPANA S,2022-01-15 06:00:00.000,2022-01-15 20:00:00.000,2022-01-15 06:47:00.000,2022-01-15 19:08:00.000
"31658",MARITIMA DEL MEDITERRANEO SA,2022-01-23 18:00:00.000,2022-01-24 08:00:00.000,2022-01-23 17:38:00.000,2022-01-24 19:31:00.000
"31675",MEDITERRANEAN SHIPPING COM ESPANA S,2022-01-26 06:00:00.000,2022-01-27 06:00:00.000,2022-01-26 08:20:00.000,2022-01-27 08:23:00.000
"31677",MEDITERRANEAN SHIPPING COM ESPANA S,2022-02-09 01:00:00.000,2022-02-09 20:00:00.000,2022-02-09 08:13:00.000,2022-02-10 07:16:00.000
"31689",WEC LINES ESPANA SLU,2022-01-21 07:00:00.000,2022-01-22 05:00:00.000,2022-01-21 21:41:00.000,2022-01-22 12:22:00.000
"31718",CMA CGM IBERICA SAU,2022-02-03 06:00:00.000,2022-02-03 20:00:00.000,2022-02-03 00:42:00.000,2022-02-03 07:45:00.000
"31768",MARITIMA DEL MEDITERRANEO SA,2022-01-26 06:00:00.000,2022-01-26 20:00:00.000,2022-01-26 06:04:00.000,2022-01-27 01:14:00.000
"31788",CMA CGM IBERICA SAU,2022-01-29 06:00:00.000,2022-01-31 20:00:00.000,2022-01-29 07:19:00.000,2022-01-31 23:20:00.000
"31790",CMA CGM IBERICA SAU,2022-02-11 12:00:00.000,2022-02-11 20:00:00.000,2022-02-11 12:04:00.000,2022-02-12 08:52:00.000
"31791",CMA CGM IBERICA SAU,2022-02-18 17:00:00.000,2022-02-19 14:00:00.000,2022-02-19 00:02:00.000,2022-02-19 18:22:00.000
"31794",ARKAS SPAIN SA,2022-02-19 10:00:00.000,2022-02-20 02:00:00.000,2022-02-19 12:47:00.000,2022-02-20 00:12:00.000
"31812",MEDITERRANEAN SHIPPING COM ESPANA S,2022-02-11 01:00:00.000,2022-02-11 17:00:00.000,2022-02-11 04:54:00.000,2022-02-11 15:12:00.000
"31813",MEDITERRANEAN SHIPPING COM ESPANA S,2022-02-02 12:00:00.000,2022-02-03 02:12:00.000,2022-02-03 02:10:00.000,2022-02-03 19:35:00.000
"31843",MARITIMA DEL MEDITERRANEO SA,2022-01-31 01:00:00.000,2022-01-31 08:00:00.000,2022-01-31 00:31:00.000,2022-01-31 11:35:00.000
"31845",MARITIMA DEL MEDITERRANEO SA,2022-01-29 06:00:00.000,2022-01-29 20:00:00.000,2022-01-29 12:29:00.000,2022-01-29 21:42:00.000
"31848",MEDITERRANEAN SHIPPING COM ESPANA S,2022-01-29 12:00:00.000,2022-01-30 14:00:00.000,2022-01-30 13:21:00.000,2022-01-30 20:11:00.000
"31851",MEDITERRANEAN SHIPPING COM ESPANA S,2022-02-04 01:00:00.000,2022-02-05 01:00:00.000,2022-02-04 00:05:00.000,2022-02-04 15:47:00.000
"31853",MEDITERRANEAN SHIPPING COM ESPANA S,2022-02-16 01:00:00.000,2022-02-16 20:00:00.000,2022-02-16 01:42:00.000,2022-02-16 23:33:00.000
